"value"	"sim"	"id"	"type"	"group"
0.1	"A"	"1"	"eQTL h2"	"1"
0.1	"High-N"	"high_n"	"eQTL h2"	"1"
0.2	"B"	"3"	"eQTL h2"	"1"
0.05	"C"	"2"	"eQTL h2"	"1"
0.1	"D"	"4"	"eQTL h2"	"2"
0.2	"E"	"6"	"eQTL h2"	"2"
0.05	"F"	"8"	"eQTL h2"	"2"
0.1	"G"	"5"	"eQTL h2"	"3"
0.2	"H"	"7"	"eQTL h2"	"3"
0.05	"I"	"9"	"eQTL h2"	"3"
0.1	"Null-0.1"	"null1"	"eQTL h2"	"4"
0.2	"Null-0.2"	"null2"	"eQTL h2"	"4"
0.05	"Null-0.05"	"null3"	"eQTL h2"	"4"
0.01	"A"	"1"	"variance explained"	"1"
0.01	"High-N"	"high_n"	"variance explained"	"1"
0.01	"B"	"3"	"variance explained"	"1"
0.01	"C"	"2"	"variance explained"	"1"
0.005	"D"	"4"	"variance explained"	"2"
0.005	"E"	"6"	"variance explained"	"2"
0.005	"F"	"8"	"variance explained"	"2"
0.001	"G"	"5"	"variance explained"	"3"
0.001	"H"	"7"	"variance explained"	"3"
0.001	"I"	"9"	"variance explained"	"3"
0	"Null-0.1"	"null1"	"variance explained"	"4"
0	"Null-0.2"	"null2"	"variance explained"	"4"
0	"Null-0.05"	"null3"	"variance explained"	"4"
